月份,月销量,月销量排名,月销量排名链接,占厂商份额,在厂商排名,厂商所有车型当月销量链接,在紧凑车排名,所有紧凑车当月销量链接
2021-11,--,--,https://xl.16888.com/style-202111-202111-1.html,--,--,https://xl.16888.com/f/57329/history-202111-202111-1.html,--,https://xl.16888.com/level-1-202111-202111-1.html
2021-10,--,--,https://xl.16888.com/style-202110-202110-1.html,--,--,https://xl.16888.com/f/57329/history-202110-202110-1.html,--,https://xl.16888.com/level-1-202110-202110-1.html
2021-09,--,--,https://xl.16888.com/style-202109-202109-1.html,--,--,https://xl.16888.com/f/57329/history-202109-202109-1.html,--,https://xl.16888.com/level-1-202109-202109-1.html
2021-08,--,--,https://xl.16888.com/style-202108-202108-1.html,--,--,https://xl.16888.com/f/57329/history-202108-202108-1.html,--,https://xl.16888.com/level-1-202108-202108-1.html
2021-07,--,--,https://xl.16888.com/style-202107-202107-1.html,--,--,https://xl.16888.com/f/57329/history-202107-202107-1.html,--,https://xl.16888.com/level-1-202107-202107-1.html
2021-06,--,--,https://xl.16888.com/style-202106-202106-1.html,--,--,https://xl.16888.com/f/57329/history-202106-202106-1.html,--,https://xl.16888.com/level-1-202106-202106-1.html
2021-05,--,--,https://xl.16888.com/style-202105-202105-1.html,--,--,https://xl.16888.com/f/57329/history-202105-202105-1.html,--,https://xl.16888.com/level-1-202105-202105-1.html
2021-04,14,471,https://xl.16888.com/style-202104-202104-1.html,0.03%,17,https://xl.16888.com/f/57329/history-202104-202104-1.html,18,https://xl.16888.com/level-1-202104-202104-1.html
2021-03,40,441,https://xl.16888.com/style-202103-202103-1.html,0.11%,17,https://xl.16888.com/f/57329/history-202103-202103-1.html,16,https://xl.16888.com/level-1-202103-202103-1.html
2021-02,81,380,https://xl.16888.com/style-202102-202102-1.html,0.41%,14,https://xl.16888.com/f/57329/history-202102-202102-1.html,12,https://xl.16888.com/level-1-202102-202102-1.html
2021-01,108,412,https://xl.16888.com/style-202101-202101-1.html,0.26%,15,https://xl.16888.com/f/57329/history-202101-202101-1.html,16,https://xl.16888.com/level-1-202101-202101-1.html
2020-12,220,409,https://xl.16888.com/style-202012-202012-1.html,0.40%,15,https://xl.16888.com/f/57329/history-202012-202012-1.html,17,https://xl.16888.com/level-1-202012-202012-1.html
2020-11,168,424,https://xl.16888.com/style-202011-202011-1.html,0.32%,15,https://xl.16888.com/f/57329/history-202011-202011-1.html,16,https://xl.16888.com/level-1-202011-202011-1.html
2020-10,182,403,https://xl.16888.com/style-202010-202010-1.html,0.39%,14,https://xl.16888.com/f/57329/history-202010-202010-1.html,11,https://xl.16888.com/level-1-202010-202010-1.html
2020-09,119,402,https://xl.16888.com/style-202009-202009-1.html,0.29%,15,https://xl.16888.com/f/57329/history-202009-202009-1.html,13,https://xl.16888.com/level-1-202009-202009-1.html
2020-08,157,404,https://xl.16888.com/style-202008-202008-1.html,0.52%,17,https://xl.16888.com/f/57329/history-202008-202008-1.html,12,https://xl.16888.com/level-1-202008-202008-1.html
